KVR 587
CVO 286
XAY 929
LEN 536
RZR 797
KLL 555
MVC 682
EIC 342
CXS 297
AFZ 239
NRJ 675
CFX 239
QQU 778
ABF 223
QRM 776
UVO 886
CQH 274
SLB 752
EOU 368
VMP 867
RLV 758
TKM 856
ZPO 976
CGA 242
QVP 787
TQG 874
MWI 694
JZW 599
LSG 574
KOJ 565
BHL 245
MHJ 645
WVL 985
MKG 654
XYP 997
MRI 674
WRG 974
DHK 345
SGN 746
QQQ 777
YQC 972
LAD 523
OYM 696
NYW 699
GSJ 475
NBY 629
DBT 328
GVX 489
IEI 434
FQI 374
LAF 523
XMM 966
VNQ 867
XXH 994
GSA 472
MOM 666
CEY 239
FUK 385
ZIV 948
BPS 277
WGH 944
HXZ 499
HGI 444
TIO 846
QKT 758
ZIW 949
VRY 879
BSY 279
MJR 657
UIB 842
UAW 829
IWW 499
AUF 283
SUG 784
KVO 586
OWO 696
SKL 755
KZC 592
UDK 835
QFF 733
KXL 595
IAJ 425
OIV 648
MQQ 677
QQU 778
JJY 559
EOO 366
EMJ 365
COD 263
NDK 635
FHU 348
SIG 744
COR 267
FJY 359
SWH 794
RBZ 729
XQV 978
YYY 999
GRB 472
GGG 444
CNE 263
VEB 832
TKQ 857
RZE 793
LDP 537
LKP 557
VOM 866
GPV 478
NVB 682
USX 879
OZN 696
OLF 653
ICF 423
WOL 965
LUW 589
KOW 569
RMD 763
KYZ 599
HNF 463
LAE 523
KIY 549
NXW 699
KCN 526
CTE 283
QFZ 739
WXJ 995
OWD 693
RAK 725
ZBK 925
ZRX 979
TPA 872
ACC 222
BOL 265
NIG 644
HZA 492
NYH 694
YJO 956
TBP 827
OWL 695
ZIM 946
FSQ 377
JUY 589
ICJ 425
GUW 489
RYK 795
FQV 378
FYU 398
QVA 782
AFH 234
ASQ 277
OOG 664
EZA 392
LYG 594
XFZ 939
ITI 484
PNC 762
YZE 993
JEW 539
LFE 533
TQB 872
JXH 594
PTB 782
JMI 564
YLU 958
ZRY 979
UDC 832
OYQ 697
VKG 854
NWX 699
DOT 368
IXJ 495
PDG 734
FGK 345
DMD 363
WUN 986
WEX 939
PGP 747
HSW 479
AFD 233
FHN 346
GHS 447
PWE 793
TMN 866
DJQ 357
HPL 475
DRK 375
QZL 795
NVR 687
PCM 726
OHZ 649
GWY 499
KDR 537
PZG 794
RPE 773
FIL 345
CXH 294
BMJ 265
ORV 678
BYX 299
LUZ 589
HNL 465
DUI 384
NFT 638
EXL 395
BTT 288
LHW 549
JLP 557
RYE 793
BHA 242
NGA 642
NWM 696
BER 237
AQL 275
ALI 254
TCV 828
FXY 399
TIH 844
PGQ 747
ZPG 974
CBZ 229
OIK 645
AYE 293
UDZ 839
QEF 733
MIG 644
EEY 339
KDI 534
OIK 645
IPM 476
GDR 437
TAV 828
KFR 537
SPL 775
YLB 952
ZVT 988
GDM 436
OEV 638
WFR 937
UIH 844
FPT 378
SLU 758
KNP 567
JQD 573
JDG 534
GIP 447
VYN 896
JYS 597
MQD 673
ZKD 953
OTX 689
NQT 678
SDP 737
WVM 986
EYD 393
RGH 744
KTV 588
JQZ 579
LND 563
PHJ 745
VHZ 849
YEE 933
HUL 485
UYR 897
JHS 547
OPG 674
WGA 942
UIH 844
ZAO 926
YYF 993
CGZ 249
JZS 597
FZL 395
CGT 248
IGB 442
GOG 464
OTU 688
LWC 592
PBL 725
VWN 896
OBG 624
HJU 458
HER 437
YPM 976
IRW 479
ZXY 999
WKF 953
KRR 577
RJW 759
DJD 353
ONX 669
SUG 784
FZD 393
NON 666
KTV 588
NMA 662
AWU 298
OFH 634
WAU 928
TDO 836
YJP 957
KWL 595
CNW 269
MCK 625
GYT 498
KUU 588
EOW 369
VVW 889
TIS 847
ZIF 943
TUX 889
ECE 323
LRW 579
SSW 779
PGL 745
RKU 758
YKD 953
AFI 234
WWS 997
GSI 474
RSN 776
PWV 798
ZVK 985
YDY 939
QPE 773
RAZ 729
YTK 985
YRH 974
PET 738
DHQ 347
FWD 393
QZA 792
CVP 287
PTN 786
FYA 392
RBU 728
NKA 652
LJA 552
EUZ 389
JFI 534
RRR 777
DJO 356
OML 665
ZEE 933
FCC 322
VBX 829
RCL 725
WQY 979
YWP 997
KVL 585
WPL 975
JQZ 579
YKK 955
KIL 545
YPP 977
TGK 845
LKE 553
JFO 536
OSZ 679
HRM 476
QJX 759
WLY 959
XJR 957
MPR 677
OEW 639
ISA 472
RIT 748
EJC 352
EFS 337
AFO 236
ZOC 962
RTA 782
JMH 564
PQV 778
GSS 477
NRC 672
LCG 524
CGM 246
RQV 778
CBA 222
HAE 423
YXI 994
AMJ 265
CBX 229
BQZ 279
KDX 539
DWN 396
JAO 526
ZFL 935
NTY 689
WYQ 997
VSK 875
AWE 293
UPF 873
NOC 662
DIY 349
UCM 826
TYG 894
QOX 769
ZJZ 959
AUQ 287
GFT 438
XSQ 977
JRS 577
GJL 455
IGZ 449
TGB 842
YRQ 977
FXI 394
CGM 246
IER 437
MTD 683
NGY 649
QKV 758
MAY 629
HBD 423
WMO 966
CTJ 285
QTP 787
XQF 973
LVG 584
LYT 598
BGH 244
JZX 599
XSP 977
UHF 843
IDI 434
EJP 357
RVF 783
OCI 624
OZB 692
EWD 393
SIH 744
WJH 954
QGF 743
STN 786
BJD 253
YZS 997
BPJ 275
ZMW 969
WQF 973
NJB 652
STM 786
UUT 888
KIU 548
WPG 974
ARA 272
TMG 864
KSQ 577
NWA 692
JAM 526
ZBM 926
TYU 898
QBR 727
NFO 636
TJR 857
JAS 527
NOV 668
AHG 244
VKP 857
XSU 978
PVJ 785
KHQ 547
TVL 885
MUR 687
FVY 389
JMM 566
AHV 248
WRM 976
FAA 322
ZQB 972
ZZQ 997
EUD 383
QEL 735
OGG 644
CZZ 299
WST 978
TRE 873
QFH 734
PND 763
JSX 579
KGC 542
XYO 996
ZJW 959
KCJ 525
QDQ 737
NPW 679
BXU 298
CYQ 297
VLC 852
LIW 549
NMC 662
ILL 455
VZS 897
PLO 756
JWW 599
HHT 448
MBJ 625
SYC 792
AEB 232
ANX 269
MER 637
WSH 974
SRV 778
XWO 996
JBR 527
GME 463
PKP 757
NMZ 669
OHS 647
AKE 253
LPX 579
YIL 945
collision array
 0  0  0  0  0  0  0  0  0  0  0  3  1  1  3  2  0  0  0  0  0  1  3  0  2 
 3  0  2  0  0  1  0  0  1  0  2  1  3  0  0  1  1  0  1  0  2  0  1  0  0 
 0  1  2  1  1  1  0  1  0  0  0  1  1  0  0  3  0  5  0  0  0  0  1  1  1 
 1  3  3  0  0  2  0  2  2  0  2  1  4  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  2  2  0  0  0  2  0  0  0  0  1  1  1 
 1  2  1  0  0  1  0  3  3  0  1  1  2  0  0  2  1  1  0  0  1  0  0  0  0 
 3  0  1  1  2  0  1  2  0  0  1  1  2  1  0  2  2  2  0  0  2  1  0  0  0 
 2  1  2  0  0  2  1  2  1  4  1  0  3  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  3  1  1  1  2  0  0  0  2  4  2  0 
 2  1  1  0  2  0  1  4  3  3  2  2  1  0  3  1  0  2  1  3  2  7  2  2  1 
 1  2  0  2  1  0  0  1  0  0  0  2  0  3  2  5  5  2  0  2  3  1  3  1  4 
 4  0  2  0  2  2  3  2  4  0  2  2  2  1  0  0  0  0  2  1  0  0  2  2  2 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  2  2  0  0  2  0  2  2  1 
 0  0  1  1  0  2  1  3  1  1  1  0  2  0  1  1  0  2  0  1  6  1  1  1  1 
 0  0  2  1  2  2  1  2  0  1  2  2  1  2  0  1  1  2  2  1  0  0  0  1  2 
 1  1  3  2  0  0  0  1  1  3  3  1  0  0  2  0  0  2  4  1  2  1  0  1  1 
 0  0  0  0  0  0  0  0  0  0  0  0  0  1  2  0  1  1  0  0  0  2  0  4  0 
 3  0  3  0  0  1  1  1  1  3  0  2  4  1  0  1  3  2  1  3  2  1  5  1  1 
 1  0  0  1  2  2  0  1  1  0  2  2  5  3  4  5  3  3  0  0  0  0  3  3  3 
 2  3  1  1  2  0  2  2  1  3  7  0  2  0  2  0  0  1  0  0  1  0  0  1  3 
 0  0  0  0  0  0  0  0  0  0  0  0 0 collisions occurred #244
1 collisions occurred #117
2 collisions occurred #92
3 collisions occurred #39
4 collisions occurred #11
5 collisions occurred #6
6 collisions occurred #1
7 collisions occurred #2
Max number of collisions is: 7
Total collisions: 268
average # of collisions: 1.91045
